sp_name;reason;actual_sp_name_NCBI;actual_sp_name_SILVA;comments
Acinetobacter berezinae;misspelled;Acinetobacter bereziniae;Acinetobacter bereziniae;is misspelled from the SpeciesInteractions_EID.csv pathogen file (Wardeh), but you have put both names so it's ok the sequences are there, but it would be nice to remove the bad name from the Human_patho_list and leave the correct one. 
Acinetobacter chinensis;new sp  (2019) taxonomic name not formally assigned;Acinetobacter chinensis;Acinetobacter sp. WCHAc010005;https://doi.org/10.1007/s12275-019-8485-0, https://doi.org/10.1099/ijsem.0.003624, (In the ncbi taxonomy you will find the informal name, which is the name you will find in silva.)
Xenophilus aerolata;misspelled;Xenophilus aerolatus;Xenophilus aerolatus;is misspelled from the SpeciesInteractions_EID.csv pathogen file (Wardeh)
eptoniphilus harei;misspelled;Peptoniphilus harei;Peptoniphilus harei;I guess it is Peptoniphilus harei, in the Human_patho_list the sp eptoniphilus harei is listed. But the only sp in ncbi that matches is Peptoniphilus harei. It is not on the Wareh list. 
cinetobacter venetianus;misspelled;Acinetobacter venetianus;Acinetobacter venetianus;I guess it is Acinetobacter venetianus, in the Human_patho_list the sp cinetobacter venetianus is listed. But the only sp in ncbi that matches is Acinetobacter venetianus. 
Treponema carateum;No record in silva or ncbi for this sp;;;The only information available is that it causes a disease called Pinta. Can be left on the list as a pathogenic record, but there will be no sequences in the DB. 
Tatlockia micdadei;Basionym;Legionella micdadei;Legionella pittsburghensis;In Silva L. pittsburghensis occurs with Obsolete names: DSMZ Tatlockia micdadei. And the strains agree with NCBI L. micdadei
Legionella micdadei;No record in silva;Legionella micdadei;Legionella pittsburghensis;In Silva L. pittsburghensis occurs with Obsolete names: DSMZ Tatlockia micdadei. And the strains agree with NCBI L. micdadei
Acinetobacter cumulans;No record in silva;Acinetobacter cumulans;;Can not find the species in SILVA
Acinetobacter lanii;No record in silva;Acinetobacter lanii;;Can not find the species in SILVA
Acinetobacter pseudolwoffii;new sp  (2019) taxonomic name not formally assigned;Acinetobacter pseudolwoffii;Acinetobacter sp. NIPH 713;https://doi.org/10.1099/ijsem.0.003452 (In the ncbi taxonomy you will find the informal name, which is the name you will find in silva.)
Acinetobacter shaoyimingii;No record in silva;Acinetobacter shaoyimingii;;Can not find the species in SILVA
Acinetobacter wanghuae;No record in silva;Acinetobacter wanghuae;;Can not find the species in SILVA
Actinobaculum schaalii;misspelled;Actinotignum schaalii;Actinotignum schaalii;is misspelled from Wardeh 2015
Actinomyces cardiffensis;misspelled;Schaalia cardiffensis;Schaalia cardiffensis;is misspelled from Wardeh 2015 and Blauvkamp 2019, correct name also presented in Blauvkamp 2019
Actinomyces funkei;Basionym;Schaalia funkei;Schaalia funkei;https://doi.org/10.1099/ijsem.0.003071 (In the ncbi taxonomy you will find the informal name, which is the name you will find in silva.)
Actinomyces georgiae;Basionym;Schaalia georgiae;Schaalia georgiae;https://doi.org/10.1099/ijsem.0.003452 (In the ncbi taxonomy you will find the informal name, which is the name you will find in silva.)
Actinomyces meyeri;Synonym;Schaalia meyeri;Schaalia meyeri;homotypic synonym:  Actinobacterium meyeri and Actinomyces meyeri (In the ncbi taxonomy you will find the informal name, which is the name you will find in silva.)
Actinomyces odontolyticus;Basionym;Schaalia odontolytica;Schaalia odontolytica;
Actinomyces radingae;Basionym;Schaalia radingae;Schaalia radingae;
Actinomyces timonensis;Contain more info;Actinomyces timonensis;Actinomyces timonensis DSM 23838;
Actinomyces turicensis;Basionym;Schaalia turicensis;Schaalia turicensis;
Aeromonas aquariorum;Synonym;Aeromonas dhakensis;Aeromonas dhakensis;
Afipia felis;Contain more info;Afipia felis;Afipia felis (cat scratch disease bacillus);
Agrobacterium rhizogenes;Synonym;Rhizobium rhizogenes;Rhizobium rhizogenes;
Agrobacterium vitis;Contain more info;Agrobacterium vitis;Agrobacterium vitis pv. Musae;
Arachnia propionica;Synonym;Arachnia propionica;Pseudopropionibacterium propionicum;
Arcanobacterium bernardiae;Synonym;Trueperella bernardiae;Trueperella bernardiae;
Arcanobacterium pyogenes;Synonym;Trueperella pyogenes;Trueperella pyogenes;
Arthrobacter creatinolyticus;Basionym;Glutamicibacter creatinolyticus;Glutamicibacter creatinolyticus;
Arthrobacter mysorens;Basionym;Glutamicibacter mysorens;Glutamicibacter mysorens;
Asaia lannaensis;misspelled;Asaia lannensis;Asaia lannensis;
Atopobium parvulum;Synonym;Lancefieldella parvula;Lancefieldella parvula;
Atopobium rimae;Synonym;Lancefieldella rimae;Lancefieldella rimae;
Atopobium vaginae;Basionym;Fannyhessea vaginae;Fannyhessea vaginae;
Aurantimonas altamirensis;Basionym;Aureimonas altamirensis;Aureimonas altamirensis;
Bacillus mojavensis;Contain more info;Bacillus mojavensis;Bacillus mojavensis RO-H-1 = KCTC 3706;
Bacteroides heparinolyticus;Contain more info;Bacteroides heparinolyticus;Bacteroides heparinolyticus ATCC 35895;
Bacteroides ureolyticus;Synonym;Campylobacter ureolyticus;Campylobacter ureolyticus;
Bartonella washoensis;Contain more info;Candidatus Bartonella washoeensis;Bartonella washoensis Sb944nv;
;;;Bartonella washoensis 085-0475;
Bifidobacterium kashiwanohense;Basionym;Bifidobacterium catenulatum subsp. Kashiwanohense;Bifidobacterium catenulatum subsp. kashiwanohense;
Borrelia andersonii;Synonym;Borreliella andersonii;Borreliella andersonii;
Borrelia bissettii;No record in silva;Borreliella bissettiae;;
Borrelia burgdorferi;Synonym and contain more info;Borreliella burgdorferi;Borrelia burgdorferi;
;;;Borreliella burgdorferi (Lyme disease spirochete);
Borreliella afzelii;Both basionym and contain more info;Borreliella afzelii;Borreliella afzelii;
;;;Borrelia afzelii;
Borreliella burgdorferi;Synonym and contain more info;Borreliella burgdorferi;Borreliella burgdorferi;
;;;Borrelia burgdorferi;
Borreliella garinii;Both basionym and contain more info;Borreliella garinii;Borreliella garinii;
;;;Borrelia garinii;
Borreliella mayonii;Synonym;Borreliella mayonii;Borrelia mayonii;
